seed,step,mean_cooperation,polarization,balanced_fraction,n_camps,camp_cleanliness,camp_exception_rate,cross_camp_nonhostile_rate,countries_with_cross_exceptions,homophily,structural_balance,power_parity,gravity,global_cooperation,climate_mitigation_score,climate_adaptation_score,economic_growth_score,peace_and_stability_score
42,0,0.11019248269226964,0.0,0.8359683794466403,2.0,0.42028985507246375,0.5797101449275363,0.9722222222222222,24.0,0.7668162677366999,0.8359683794466403,0.17714960868821022,0.09311837506344338,0.5550962413461348,0.673584257508925,0.5868723035192459,0.5518889552968683,0.7959176936951403
42,1,0.12193654296291351,0.0,0.8330039525691699,2.0,0.45652173913043476,0.5434782608695652,0.9513888888888888,24.0,0.7764375359106187,0.8330039525691699,0.19348590686243844,0.10501337631474805,0.5609682714814568,0.6753502032478014,0.5889262785105037,0.5544902073114936,0.7951355243567041
42,2,0.1318015029442751,0.0,0.8369565217391305,2.0,0.48188405797101447,0.5181159420289855,0.9097222222222222,24.0,0.7840494038028649,0.8369565217391305,0.20577842805102903,0.11765032243110828,0.5659007514721376,0.6761982253313072,0.5905208711838092,0.5565163528238095,0.7971090221719183
42,3,0.1402697173316074,0.0,0.8241106719367589,2.0,0.5,0.5,0.8888888888888888,24.0,0.7911990165969132,0.8241106719367589,0.215413471317277,0.1289499753013796,0.5701348586658037,0.6806738525178326,0.5949186072097828,0.5614553708257216,0.7940222146659804
42,4,0.14733345149993,0.0,0.8310276679841897,2.0,0.5072463768115942,0.4927536231884058,0.875,24.0,0.794592832948742,0.8310276679841897,0.22250096874698275,0.1387539780252872,0.573666725749965,0.681046967592156,0.5961014086579274,0.5628527012332398,0.7973380288264611
42,5,0.15384620369217164,0.0,0.8201581027667985,2.0,0.5181159420289855,0.48188405797101447,0.8541666666666666,24.0,0.798896360053948,0.8201581027667985,0.2281951786847216,0.14772118431784037,0.5769231018460859,0.6851457573281403,0.6001369180783906,0.5672791029908439,0.7951113929141342
42,6,0.1595260590786283,0.0,0.8201581027667985,2.0,0.5289855072463768,0.47101449275362317,0.8472222222222222,24.0,0.8040103934045029,0.8201581027667985,0.23374569394193617,0.1554034074240033,0.5797630295393141,0.6862653646035772,0.6016124598426856,0.5690635310886474,0.795669654307544
42,7,0.16421985766838657,0.0,0.817193675889328,2.0,0.5289855072463768,0.47101449275362317,0.8472222222222222,24.0,0.8070927488661948,0.817193675889328,0.23934903426058005,0.1621072376135044,0.5821099288341933,0.6880318216627084,0.6035675115929381,0.5712547113019598,0.7954084030489149
42,8,0.1682621657544162,0.0,0.8122529644268774,2.0,0.5289855072463768,0.47101449275362317,0.8472222222222222,24.0,0.8104354299377148,0.8122529644268774,0.2449433898762348,0.1681149077953583,0.584131082877208,0.6899518853951218,0.6055452391109515,0.5734818329726077,0.7943090540258351
42,9,0.17158746709495007,0.0,0.8122529644268774,2.0,0.532608695652174,0.4673913043478261,0.8402777777777778,23.0,0.8131062193095728,0.8122529644268774,0.2498287988642072,0.17327750807245904,0.585793733547475,0.6906505795142885,0.606494598527193,0.5746008868632914,0.7946419835582437
