scenario,step,mean_cooperation,balanced_fraction,n_blocs,modularity,polarization,conflicts,total_power
cooperative,59,0.99971913947618,1.0,1,0.0,1.0,0,520.4553230345615
cooperative,60,0.999761268554753,1.0,1,-1.1102230246251565e-16,1.0,0,552.3100691383155
cooperative,61,0.9997970782715401,1.0,1,-3.3306690738754696e-16,1.0,0,586.1083759820799
cooperative,62,0.9998275165308093,1.0,1,2.220446049250313e-16,1.0,0,621.9803171171051
cooperative,63,0.9998533890511876,1.0,1,-7.771561172376096e-16,1.0,0,660.0518241740723
cooperative,64,0.9998753806935095,1.0,1,-1.1102230246251565e-16,1.0,0,700.4522636679346
cooperative,65,0.9998940735894831,1.0,1,6.661338147750939e-16,1.0,0,743.3272198740908
cooperative,66,0.9999099625510607,1.0,1,-1.1102230246251565e-16,1.0,0,788.8264575249408
cooperative,67,0.9999234681684016,1.0,1,6.661338147750939e-16,1.0,0,837.1129609051695
cooperative,68,0.9999349479431413,1.0,1,2.220446049250313e-16,1.0,0,888.3547592420778
cooperative,69,0.9999447057516699,1.0,1,4.440892098500626e-16,1.0,0,942.7346209472652
cooperative,70,0.9999529998889195,1.0,1,-4.440892098500626e-16,1.0,0,1000.4517299127475
cooperative,71,0.9999600499055815,1.0,1,-3.3306690738754696e-16,1.0,0,1061.6935500550644
cooperative,72,0.9999660424197444,1.0,1,0.0,1.0,0,1126.695122621923
cooperative,73,0.9999711360567828,1.0,1,4.440892098500626e-16,1.0,0,1195.6765187162932
cooperative,74,0.9999754656482653,1.0,1,2.220446049250313e-16,1.0,0,1268.8786925569543
cooperative,75,0.9999791458010254,1.0,1,2.220446049250313e-16,1.0,0,1346.5780953155213
cooperative,76,0.9999822739308719,1.0,1,2.220446049250313e-16,1.0,0,1429.0305685006888
cooperative,77,0.9999849328412408,1.0,1,4.440892098500626e-16,1.0,0,1516.5278495567388
cooperative,78,0.9999871929150547,1.0,1,-6.661338147750939e-16,1.0,0,1609.3862150791406
cooperative,79,0.9999891139777967,1.0,1,-1.1102230246251565e-16,1.0,0,1707.9309733942596
cooperative,80,0.9999907468811271,1.0,1,-1.1102230246251565e-16,1.0,0,1812.5199102932484
cooperative,81,0.999992134848958,1.0,1,-3.3306690738754696e-16,1.0,0,1923.517360405275
cooperative,82,0.9999933146216142,1.0,1,2.220446049250313e-16,1.0,0,2041.3150536245128
cooperative,83,0.9999943174283721,1.0,1,0.0,1.0,0,2166.335597066537
cooperative,84,0.9999951698141163,1.0,1,2.220446049250313e-16,1.0,0,2298.9982130421745
cooperative,85,0.9999958943419989,1.0,1,-1.1102230246251565e-16,1.0,0,2439.790015246216
cooperative,86,0.9999965101906991,1.0,1,-1.1102230246251565e-16,1.0,0,2589.195174949535
cooperative,87,0.9999970336620942,1.0,1,2.220446049250313e-16,1.0,0,2747.7827036026283
cooperative,88,0.9999974786127799,1.0,1,-1.1102230246251565e-16,1.0,0,2916.0702756902037
